region	site	date	cause	type	density
113	Manbij	Abu Qilqil	2004-04-22	Construction	Domestic	0.00273224043715847
114	Manbij	Abu Qilqil	2004-04-23	Construction	Domestic	0.00273224043715847
115	Manbij	Abu Qilqil	2004-04-24	Construction	Domestic	0.00273224043715847
116	Manbij	Abu Qilqil	2004-04-25	Construction	Domestic	0.00273224043715847
117	Manbij	Abu Qilqil	2004-04-26	Construction	Domestic	0.00273224043715847
118	Manbij	Abu Qilqil	2004-04-27	Construction	Domestic	0.00273224043715847
119	Manbij	Abu Qilqil	2004-04-28	Construction	Domestic	0.00273224043715847
120	Manbij	Abu Qilqil	2004-04-29	Construction	Domestic	0.00273224043715847
121	Manbij	Abu Qilqil	2004-04-30	Construction	Domestic	0.00273224043715847
122	Manbij	Abu Qilqil	2004-05-01	Construction	Domestic	0.00273224043715847
123	Manbij	Abu Qilqil	2004-05-02	Construction	Domestic	0.00273224043715847
124	Manbij	Abu Qilqil	2004-05-03	Construction	Domestic	0.00273224043715847
125	Manbij	Abu Qilqil	2004-05-04	Construction	Domestic	0.00273224043715847
126	Manbij	Abu Qilqil	2004-05-05	Construction	Domestic	0.00273224043715847
127	Manbij	Abu Qilqil	2004-05-06	Construction	Domestic	0.00273224043715847
128	Manbij	Abu Qilqil	2004-05-07	Construction	Domestic	0.00273224043715847
129	Manbij	Abu Qilqil	2004-05-08	Construction	Domestic	0.00273224043715847
130	Manbij	Abu Qilqil	2004-05-09	Construction	Domestic	0.00273224043715847
131	Manbij	Abu Qilqil	2004-05-10	Construction	Domestic	0.00273224043715847
132	Manbij	Abu Qilqil	2004-05-11	Construction	Domestic	0.00273224043715847
133	Manbij	Abu Qilqil	2004-05-12	Construction	Domestic	0.00273224043715847
134	Manbij	Abu Qilqil	2004-05-13	Construction	Domestic	0.00273224043715847
135	Manbij	Abu Qilqil	2004-05-14	Construction	Domestic	0.00273224043715847
136	Manbij	Abu Qilqil	2004-05-15	Construction	Domestic	0.00273224043715847
137	Manbij	Abu Qilqil	2004-05-16	Construction	Domestic	0.00273224043715847
138	Manbij	Abu Qilqil	2004-05-17	Construction	Domestic	0.00273224043715847
139	Manbij	Abu Qilqil	2004-05-18	Construction	Domestic	0.00273224043715847
140	Manbij	Abu Qilqil	2004-05-19	Construction	Domestic	0.00273224043715847
141	Manbij	Abu Qilqil	2004-05-20	Construction	Domestic	0.00273224043715847
142	Manbij	Abu Qilqil	2004-05-21	Construction	Domestic	0.00273224043715847
143	Manbij	Abu Qilqil	2004-05-22	Construction	Domestic	0.00273224043715847
144	Manbij	Abu Qilqil	2004-05-23	Construction	Domestic	0.00273224043715847
145	Manbij	Abu Qilqil	2004-05-24	Construction	Domestic	0.00273224043715847
146	Manbij	Abu Qilqil	2004-05-25	Construction	Domestic	0.00273224043715847
147	Manbij	Abu Qilqil	2004-05-26	Construction	Domestic	0.00273224043715847
148	Manbij	Abu Qilqil	2004-05-27	Construction	Domestic	0.00273224043715847
149	Manbij	Abu Qilqil	2004-05-28	Construction	Domestic	0.00273224043715847
150	Manbij	Abu Qilqil	2004-05-29	Construction	Domestic	0.00273224043715847
151	Manbij	Abu Qilqil	2004-05-30	Construction	Domestic	0.00273224043715847
152	Manbij	Abu Qilqil	2004-05-31	Construction	Domestic	0.00273224043715847
153	Manbij	Abu Qilqil	2004-06-01	Construction	Domestic	0.00273224043715847
154	Manbij	Abu Qilqil	2004-06-02	Construction	Domestic	0.00273224043715847
155	Manbij	Abu Qilqil	2004-06-03	Construction	Domestic	0.00273224043715847
156	Manbij	Abu Qilqil	2004-06-04	Construction	Domestic	0.00273224043715847
157	Manbij	Abu Qilqil	2004-06-05	Construction	Domestic	0.00273224043715847
158	Manbij	Abu Qilqil	2004-06-06	Construction	Domestic	0.00273224043715847
159	Manbij	Abu Qilqil	2004-06-07	Construction	Domestic	0.00273224043715847
160	Manbij	Abu Qilqil	2004-06-08	Construction	Domestic	0.00273224043715847
161	Manbij	Abu Qilqil	2004-06-09	Construction	Domestic	0.00273224043715847
162	Manbij	Abu Qilqil	2004-06-10	Construction	Domestic	0.00273224043715847
163	Manbij	Abu Qilqil	2004-06-11	Construction	Domestic	0.00273224043715847
164	Manbij	Abu Qilqil	2004-06-12	Construction	Domestic	0.00273224043715847
165	Manbij	Abu Qilqil	2004-06-13	Construction	Domestic	0.00273224043715847
166	Manbij	Abu Qilqil	2004-06-14	Construction	Domestic	0.00273224043715847
167	Manbij	Abu Qilqil	2004-06-15	Construction	Domestic	0.00273224043715847
168	Manbij	Abu Qilqil	2004-06-16	Construction	Domestic	0.00273224043715847
169	Manbij	Abu Qilqil	2004-06-17	Construction	Domestic	0.00273224043715847
170	Manbij	Abu Qilqil	2004-06-18	Construction	Domestic	0.00273224043715847
171	Manbij	Abu Qilqil	2004-06-19	Construction	Domestic	0.00273224043715847
172	Manbij	Abu Qilqil	2004-06-20	Construction	Domestic	0.00273224043715847
173	Manbij	Abu Qilqil	2004-06-21	Construction	Domestic	0.00273224043715847
174	Manbij	Abu Qilqil	2004-06-22	Construction	Domestic	0.00273224043715847
175	Manbij	Abu Qilqil	2004-06-23	Construction	Domestic	0.00273224043715847
